reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
LPLIPAL1A180pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1A181pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E120pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E140pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E141pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E160pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E161pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E180pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1E181pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G120pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G140pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G141pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G160pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G161pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G180pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL1G181pp,b0494,tesA,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A120,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A140,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A141,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A160,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A161,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A180,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2A181,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE120,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE140,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE141,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE160,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE161,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE180,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATE181,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG120,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG140,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG141,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG160,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG161,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG180,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2ATG181,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E120,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E140,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E141,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E160,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E161,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E180,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2E181,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G120,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G140,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G141,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G160,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G161,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G180,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LPLIPAL2G181,b3825,pldB,,,,,,,,,,,,,,,,,,,,,
LSERDHr,b1539,ydfG,,,,,,,,,,,,,,,,,,,,,
LYSt2pp,b2156,lysP,,,,,,,,,,,,,,,,,,,,,
LYSt3pp,b2923,argO,,,,,,,,,,,,,,,,,,,,,
LYXI,b3903,rhaA,,,,,,,,,,,,,,,,,,,,,
LYXt2pp,b3907,rhaT,,,,,,,,,,,,,,,,,,,,,
M1PD,b3600,mtlD,,,,,,,,,,,,,,,,,,,,,
MACPD,b2323,fabB,,,,,,,,,,,,,,,,,,,,,
