reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
ACODA,1280000000000000,1140973738318100,1997680229091580,1649610627376060,1316666666666670,1307005679396670,1443333333333330,1538027115191940,3343985911651030,1730000000000000,2504668757428890,2319369877908060,2098992905365510,2007726156606670,1980000000000000,3165800786769890,1720757638252310,1642225339592410,4040848327067920,3458923969218330,3841008978961430
AGPR_reverse,590000000000000,1921118993493020,4802451241706320,2932242554171210,526666666666667,4052085576771390,690000000000000,2610593529176670,6449207658063910,1890000000000000,6197222057184130,5698301489735830,5670141773692470,5545482586316390,1096666666666670,8294013877141510,4527452347892560,4193634312565290,8119667559810420,7153101213332140,7417996953004520
AGPR,590000000000000,1921118993493020,4802451241706320,2932242554171210,526666666666667,4052085576771390,690000000000000,2610593529176670,6449207658063910,1890000000000000,6197222057184130,5698301489735830,5670141773692470,5545482586316390,1096666666666670,8294013877141510,4527452347892560,4193634312565290,8119667559810420,7153101213332140,7417996953004520
ACGK,2036666666666670,4861468475078100,7776944156856140,6612042417046060,2266666666666670,5767717192720000,2470000000000000,5185946655086670,7314157806505290,2603333333333330,8620837208497780,6047519062664720,6748999390574200,6090960362861670,3180000000000000,9078436791251610,6299122734904100,8129634174742070,8757375293092500,8249668387897860,8102748827980950
ARGSL_reverse,780000000000000,319084002169841,884935457262456,438163495310303,1260000000000000,819563159502500,1693333333333330,463898839245000,2074409535366900,2026666666666670,1186549104446030,1461008802756390,1839469763282320,1511266951611670,3276666666666670,2408332244579570,820911307439231,638019423600230,2887458644249370,2684451971684520,2683089884968810
ARGSL,780000000000000,319084002169841,884935457262456,438163495310303,1260000000000000,819563159502500,1693333333333330,463898839245000,2074409535366900,2026666666666670,1186549104446030,1461008802756390,1839469763282320,1511266951611670,3276666666666670,2408332244579570,820911307439231,638019423600230,2887458644249370,2684451971684520,2683089884968810
GLUR_reverse,,120487316369206,208968934492632,516539575468788,,281780744004722,,196718486596111,666208133983218,,239638440169524,321614225328333,525248209718551,695457394095278,,570920281183656,315651593712051,315263475817471,373767130947083,316871265547143,340901463385952
GLUR,,120487316369206,208968934492632,516539575468788,,281780744004722,,196718486596111,666208133983218,,239638440169524,321614225328333,525248209718551,695457394095278,,570920281183656,315651593712051,315263475817471,373767130947083,316871265547143,340901463385952
UAPGR,120000000000000,118332052438730,164901577715439,119983217689697,130000000000000,168293737944722,116666666666667,109175095365556,250223133484138,116666666666667,189828025657778,189574983150833,251796904394203,200427948170000,100000000000000,268891401966667,206223337815897,132045822599770,245812530639375,295031635089524,226674578333333
PNTK,300000000000000,48214874990793.7,103914550222456,45159645069697,350000000000000,121693931894722,300000000000000,62431508831388.9,133756387161379,233333333333333,96628990357142.9,93246839745833.4,173274482848406,125756578105278,243333333333333,111040588680860,78248923526923.1,49945491320689.7,135157231859375,131283600715952,143047320287619
