abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
phthr	O-Phospho-4-hydroxy-L-threonine	C4H8NO7P	-2	Cytosol	C06055		1448859	
pydx5p	Pyridoxal 5'-phosphate	C8H8NO6P	-2	Cytosol	C00018	54-47-7	33526	
galct-D	D-Galactarate	C6H8O8	-2	Extra-organism, Cytosol, Periplasm	C00879	526-99-8	36273	
2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	Cytosol	C03508		41986	
dtdprmn	dTDP-L-rhamnose	C16H24N2O15P2	-2	Cytosol	C03319	572-96-3	41621	
stcoa	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	-4	Cytosol	C00412	362-66-3	1451385	
damp	dAMP	C10H12N5O6P	-2	Extra-organism, Cytosol, Periplasm	C00360	653-63-4	34735	
dpcoa	Dephospho-CoA	C21H33N7O13P2S	-2	Cytosol	C00882		36283	
acnam	N-Acetylneuraminate	C11H18NO9	-1	Extra-organism, Cytosol, Periplasm	C00270	131-48-6	34458	
uacgam	UDP-N-acetyl-D-glucosamine	C17H25N3O17P2	-2	Extra-organism, Cytosol, Periplasm	C00043		33638	
occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4	Cytosol	C01944		38747	
glucys	gamma-L-Glutamyl-L-cysteine	C8H13N2O5S	-1	Cytosol	C00669	686-58-8	35655	
fecrm-un	Ferrichrome minus Fe(III)	C27H42N9O12	-3	Extra-organism, Cytosol, Periplasm			2262590	
csn	Cytosine	C4H5N3O	0	Extra-organism, Cytosol, Periplasm	C00380	71-30-7	34812	
hdca	Hexadecanoate (n-C16:0)	C16H31O2	-1	Extra-organism, Cytosol, Periplasm	C00249	57-10-3	34386	
ser-L	L-Serine	C3H7NO3	0	Extra-organism, Cytosol, Periplasm	C00065	56-45-1	33717	
pser-L	O-Phospho-L-serine	C3H6NO6P	-2	Extra-organism, Cytosol, Periplasm	C01005	407-41-0	36594	
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5	0	Cytosol, Periplasm	C00641		2618973	
ap5a	P1,P5-Bis(5'-adenosyl) pentaphosphate	C20H24N10O22P5	-5	Cytosol	C04058	4637-56-3	43056	
LalaLglu	L-alanine-L-glutamate	C8H13N2O5	-1	Cytosol			2329493	
