bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0435,251.8490468094,304.2321964818,297.3244411807,170.7093755222,248.2980817067,256.993064776,377.3296760534,323.118408724
b0436,10917.3384402475,13160.5745064459,14034.034194532,11103.1515243374,11981.7006277734,13840.8078367658,14476.1897751284,14861.3273477939
b0437,1774.0119233645,1916.1221465239,1699.7826109401,1716.098311535,1698.3599106754,1635.3104660903,1693.4326695828,1661.8430949246
b0438,1362.0872795444,1497.0658038837,1671.0888118231,1411.8945932428,1506.0185930031,1569.9976184223,1688.6596932273,1712.1762866636
b0439,867.6128887743,901.5248530426,940.2029979057,862.5558485022,880.8832166381,924.585969624,946.6151863663,961.2456631142
b0440,50183.4850620416,47557.8445697796,34338.0234375447,49710.8433649985,49410.2541972693,41611.1832895995,36034.6321547908,27455.9339430997
b0441,1444.8988141853,1406.9398687879,1476.652929106,1447.1724572841,1502.9539354115,1477.923450496,1445.2820784929,1274.7298582464
b0444,103.1447135453,105.4634006993,112.4720876253,127.5773944941,118.6030171678,,,115.3398191961
b0450,117.7541291702,185.3254530138,41.7556987433,145.346744995,80.4170505949,97.4965048996,57.1192264698,64.2224267837
b0452,,,,99.8864318914,113.6160764489,104.5578425835,,99.2644120288
b0453,1579.3939628709,1585.8941364367,1640.1033378984,1567.9314489325,1371.0872204198,1578.6475205081,1535.9099187188,1335.179323059
b0458,,,,,,,,
b0462,211.2592062304,205.7111801239,221.7820220452,197.5153525012,214.9745149153,212.8692186326,206.4368384769,200.1824624227
b0463,2021.3758996353,2078.5275360677,1965.8021844832,2097.2680676028,2022.3005992819,1946.7196231147,1979.8794639161,1851.1748454797
b0465,,23.9352253794,,,12.8943279427,11.0276937357,9.8978193835,15.7063058066
b0466,13.0430094091,13.4728584116,11.2960732655,,,,,
b0469,505.4765292841,577.8624049174,575.4113175418,510.6611569827,580.4846890745,571.343212203,669.2404616395,612.5811562985
b0471,2718.6289566839,2839.6863756666,2791.0017366379,2691.1556678585,2724.9543786275,2869.8228169319,2756.7138134382,2887.1514860919
b0473,1901.7280870197,1861.8258267011,1869.4045706447,1963.4405785541,1965.198218422,1882.2156288156,1985.2768380678,1865.900382726
b0474,4391.7680525118,4595.8723820028,4223.7584334892,4152.3308050809,4483.0581294235,4442.6620945575,4137.6058508408,4867.1085310283
b0475,,,,,,,,
b0477,,,,,,,,
b0480,255.302602176,236.9931650044,194.4371359331,271.5715428174,232.193908747,255.0199331486,198.9643431871,171.7973896642
b0481,272.3111295627,235.0685598105,228.6143895589,225.2834624991,,216.0913294706,209.508629994,235.8833413507
b0484,223.9500787456,208.9423377227,188.9667085163,213.1776213145,215.4895362649,199.247458068,176.6956057465,169.6229069509
b0490,58.5560895401,92.5158938067,95.0317200679,,,92.5056269794,,
b0492,831.9039241541,856.1884171205,835.1199037406,837.4801135309,819.4730648942,903.9238239232,862.5391788014,822.4763356661
b0493,,,,,,,,40.563532793
b0495,,,,,,,,
b0506,102.5459579419,112.8779063339,116.2278659666,104.823125715,116.6578503668,113.0161406827,126.9403612103,127.8952187243
b0522,47.6133528717,56.2386874497,65.938756564,,,,76.8283264272,81.6679457679
b0523,600.7043630556,671.7300198841,771.2252253966,621.1971077967,677.7787886326,731.9490613869,882.169208209,1111.0935007652
b0525,3772.4939930115,3803.1530380233,3686.8510653482,4091.8092911395,4004.3881225039,3783.7206086881,3560.1421817287,3923.4972490771
