bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b4047,,,,,
b4048,,,,,
b4049,80,83,78,76,77
b4050,,,,,
b4051,1874,1254,914,665,503
b4052,,,,,
b4053,,,,,
b4054,1095,1250,1502,1319,1419
b4055,390,532,501,,
b4056,,,,,
b4057,937,766,573,388,332
b4058,209,169,143,123,115
b4059,2396,2363,1970,1699,1508
b4060,,,,,
b4061,,,,,
b4062,,,,,
b4063,,,,,
b4064,,,,,
b4065,,,,,
b4066,,,,,
b4067,1070,,,,
b4068,1160,,,,
b4069,10745,10272,6216,2554,879
b4070,,,,,
b4071,,,,,
b4072,,,,,
b4073,,,,,
b4074,,,,,
b4075,,,,,
b4076,,,,,
b4077,,,,,
b4078,,,,,
b4079,,,,,
b4080,,,,,
b4081,,,,,
b4082,,,,,
b4083,,,,,
b4084,,,,,
b4085,,,,,
b4086,,,,,
b4087,145,,,,
b4088,265,207,160,131,27
b4089,,,,,
b4090,,,,,
b4092,,,,,
b4093,,,,,
b4094,,,,,
b4095,,,,,
b4096,,,,,
b4097,,,,,
b4098,,,,,
b4099,,,,,
b4100,,,,,
b4101,,,,,
b4102,,,,,
b4104,,,,,
b4105,,,,,
b4106,,,,,
b4107,1765,775,428,189,146
b4108,789,481,627,,553
b4109,,,,,
b4110,48,,,,
b4111,,,,,
b4112,,,,,
b4113,712,908,635,642,447
b4114,,,,,
b4115,,,,,
b4116,,,,,
b4117,,,,,
b4118,,,,,
b4119,,,,,
b4120,,,,,
b4121,,,,,
b4122,,,,,
b4123,,,,,
b4124,,,,,
b4125,,,,,
b4126,,,,,
b4127,344,,,,
b4128,,,,,
b4129,94,97,94,80,72
b4130,,,,,
b4131,,,,,
b4132,,,,,
b4133,,,,,
b4135,533,457,348,321,288
b4136,,,,,
b4137,,,,,
b4138,,,,,
b4139,1475,1778,1313,692,243
b4140,,,,,
b4141,,,,,
b4142,18817,18331,15628,14296,12203
b4143,12299,10864,10053,8664,5939
b4144,366,354,291,228,188
b4145,,,,,
b4146,,,,,
b4147,2893,2902,3490,3503,3604
b4148,,,,,
b4149,54,40,40,33,29
b4150,,,,,
b4151,,,,,
b4152,,,,,
b4153,780,543,290,289,145
b4154,328,292,209,134,81
b4155,,,,,
b4156,,,,,
b4157,,,,,
b4158,,,,,
b4159,,,,,
b4160,1005,876,710,668,623
b4161,275,252,214,173,182
b4162,657,638,529,527,578
b4165,,,,,
b4166,,,,,
b4167,157,131,82,67,
b4168,353,179,288,244,244
b4169,,,,,
b4170,18,22,15,14,9
b4171,,,,,
b4172,,,,,
b4173,136,136,138,121,109
b4174,785,874,974,829,746
b4175,436,427,510,453,448
b4176,,,,,
b4177,6539,6664,5610,5290,5871
b4178,,,,,
b4179,156,140,140,143,147
b4180,,,,,
b4181,,,,,
b4182,,,,,
b4183,77,,,,
b4184,,,,,
b4185,,,,,
b4186,,,,,
b4187,,,,,
b4188,,,,,
b4189,,,,,
b4190,,,,,
b4191,,,,,
b4192,,,,,
b4193,,,,,
b4194,,,,,
b4195,,,,,
b4196,,,,,
b4197,,,,,
b4198,,,,,
b4199,,,,,
b4200,13591,14289,15040,15788,16781
b4201,,,,,
b4202,9499,9822,11963,13075,12719
b4203,10092,10917,13645,14297,17564
b4204,,,,,
b4205,,,,,
b4206,182,,78,,63
b4207,2000,2216,2147,2177,2182
b4208,603,740,463,352,
b4209,,,,,
b4210,,,,,
b4211,79,61,51,53,43
b4212,,,,,
b4213,293,280,250,157,105
b4214,1408,995,649,613,502
b4215,,,,,
b4216,1497,1860,1537,884,367
b4217,,,,,
b4218,,,,,
b4219,1409,982,920,849,753
b4220,,,,,
b4221,,,,,
b4222,307,292,254,234,237
b4224,,,,,
b4225,,,,,
b4226,9702,10082,9916,9003,9033
b4227,4221,2474,805,179,56
b4230,,,,,
b4231,,,,,
b4232,617,749,793,707,705
b4233,173,196,216,210,240
b4234,988,666,682,589,600
b4235,847,787,733,739,745
b4236,,,,,
b4237,,,,,
b4238,,,,,
b4239,,,,,
b4240,,,,,
b4241,,,,,
b4242,,,,,
b4243,4062,5092,5374,5006,4570
b4244,9315,16441,11771,15891,11295
b4245,7243,11256,10281,12806,10016
b4246,,,,,
b4248,,,,,
b4249,,,,,
b4251,,,,,
b4252,279,266,365,390,
b4253,,,,,
b4254,672,865,1169,1701,1423
b4255,6553,5754,4860,4741,4487
b4256,143,172,,136,135
b4257,,,,,
b4258,654,720,771,809,888
b4259,,,,,
b4260,831,929,908,838,678
b4261,37,40,40,21,22
b4262,136,107,93,60,82
b4263,638,405,277,209,167
b4264,,,,,
b4265,,,,,
b4266,43,36,16,22,
b4267,,,,,
b4268,,,,,
b4269,267,173,128,117,130
b4270,,,,,
b4271,,,,,
b4277,,,,,
b4278,,,,,
b4279,,,,,
b4280,163,,,,
b4281,,,,,
b4282,,,,,
b4284,,,,,
b4286,,,,,
b4287,,,,,
b4288,,,,,
b4289,,,,,
b4290,,,,,
b4291,,,,,
b4292,,,,,
b4293,,,,,
b4295,146,142,171,62,91
b4296,,,,,
b4297,,,,,
b4298,,,,,
b4299,,,,,
b4300,,,,,
b4301,,,,,
b4302,79,,,,
b4303,617,693,78,202,818
b4304,,,,,
b4305,680,1145,493,,
b4306,,,,,
b4307,,,,,
b4308,,,,,
b4309,,,,,
b4310,,,,,
b4311,,,,,
b4312,,,,,
b4313,,,,,
b4314,,,,,
b4315,,,,,
b4316,,,,,
b4317,,,,,
b4318,,,,,
b4319,,,,,
b4320,,,,,
b4321,,,,,
b4322,843,583,396,266,170
b4323,118,99,53,43,25
b4324,,,,,
b4325,,,,,
b4326,,,,,
b4327,,,,,
b4328,,,,,
b4329,,,,,
b4330,,,,,
b4331,,,,,
b4332,,,,,
b4333,,,,,
b4334,,,,,
b4335,,,,,
b4336,,,,,
b4337,,,,,
b4339,,,,,
b4340,,,,,
b4341,,,,,
b4342,,,,,
b4345,,,,,
b4346,,,,,
b4347,,,,,
b4348,,,,,
b4349,,,,,
b4350,43,59,56,41,35
b4351,,,,,
b4352,,,,,
b4353,,,,,
b4354,,,,,
b4355,95,,,,
b4356,,,,,
b4357,,,,,
b4358,,,,,
b4359,,,,,
b4360,252,,,,
b4361,,,,,
b4362,,,,,
b4363,,,,,
b4364,,,,,
b4365,,,,,
b4366,,,,,
b4367,,,,,
b4369,,,,,
b4370,,,,,
b4371,266,250,239,229,196
b4372,,,,,
b4373,,,,,
b4374,,,,,
b4375,278,311,355,422,445
b4376,4207,3762,8437,9871,10182
b4377,,,,,
b4378,,,,,
b4379,,,,,
b4380,,,,,
b4381,1473,1058,829,727,762
b4382,239,162,137,115,113
b4383,2068,1493,1181,978,839
b4384,1774,2017,1911,2027,1500
b4385,,,,,
b4386,,,,,
b4387,,,,,
b4388,107,103,98,94,108
b4389,,,,,
b4390,59,43,36,31,27
b4391,1856,1817,2021,1950,1602
b4392,220,169,145,97,100
b4393,590,524,326,352,231
b4394,,,,,
b4395,267,310,345,301,264
b4396,439,371,318,264,266
b4397,295,381,505,,233
b4398,,,,,
b4399,,,,,
b4400,,,,,
b4401,7037,4916,3486,3067,2651
b4402,,,,,
b4403,,,,,
b4406,,,,,
b4407,,,,,
b4408,,,,,
b4409,,,,,
b4410,,,,,
b4411,,,,,
b4412,,,,,
b4414,,,,,
b4415,,,,,
b4416,,,,,
b4417,,,,,
b4418,,,,,
b4420,,,,,
b4421,,,,,
b4422,,,,,
b4423,,,,,
b4424,,,,,
b4425,,,,,
b4426,,,,,
b4427,,,,,
b4428,,,,,
b4430,,,,,
b4431,,,,,
b4432,,,,,
b4433,,,,,
b4435,,,,,
b4436,,,,,
b4437,,,,,
b4438,,,,,
b4439,,,,,
b4440,,,,,
b4441,,,,,
b4442,,,,,
b4443,,,,,
b4444,,,,,
b4445,,,,,
b4446,,,,,
b4447,,,,,
b4448,,,,,
b4449,,,,,
b4450,,,,,
b4451,,,,,
b4452,,,,,
b4453,,,,,
b4454,,,,,
b4455,,,,,
b4456,,,,,
b4457,,,,,
b4458,,,,,
b4459,,,,,
b4460,,,,,
b4461,,,,,
b4462,,,,,
b4463,,,,,
b4464,,,,,
b4465,,,,,
b4466,,,,,
b4467,,,,,
b4468,,,,,
b4469,,,,,
b4470,,,,,
b4471,,,,,
b4472,,,,,
b4473,,,,,
b4474,,,,,
b4475,,,,,
b4476,,,,,
b4477,,,,,
b4478,,,,,
b4479,,,,,
b4480,,,,,
b4481,,,,,
b4482,,,,,
b4483,,,,,
b4484,,,,,
b4485,,,,,
b4486,,,,,
b4487,,,,,
b4488,,,,,
b4490,,,,,
b4491,,,,,
b4492,,,,,
b4493,,,,,
b4494,,,,,
b4495,,,,,
b4496,,,,,
b4497,,,,,
b4498,,,,,
b4499,,,,,
b4500,,,,,
b4501,,,,,
b4502,,,,,
b4503,,,,,
b4504,,,,,
b4505,,,,,
b4506,,,,,
b4509,,,,,
b4511,,,,,
b4512,,,,,
b4513,,,,,
b4514,,,,,
b4515,,,,,
b4517,,,,,
b4518,,,,,
b4519,,,,,
b4520,,,,,
b4521,,,,,
b4522,,,,,
b4523,,,,,
b4524,,,,,
b4525,,,,,
b4526,,,,,
b4527,,,,,
b4529,,,,,
b4532,,,,,
b4533,,,,,
b4535,,,,,
b4536,,,,,
b4537,,,,,
b4538,,,,,
b4539,,,,,
b4541,,,,,
b4542,,,,,
b4543,,,,,
b4544,,,,,
b4546,,,,,
b4547,,,,,
b4548,,,,,
b4550,,,,,
b4551,,,,,
b4552,,,,,
b4553,,,,,
b4554,,,,,
b4555,,,,,
b4556,,,,,
b4557,,,,,
b4558,,,,,
b4559,,,,,
b4561,,,,,
b4565,,,,,
b4566,,,,,
b4567,,,,,
b4568,,,,,
b4569,,,,,
b4570,,,,,
b4571,,,,,
b4572,,,,,
b4573,,,,,
b4575,,,,,
b4577,,,,,
b4578,,,,,
b4579,,,,,
b4580,,,,,
b4581,,,,,
b4582,,,,,
b4585,,,,,
b4586,,,,,
b4587,,,,,
b4588,,,,,
b4590,,,,,
b4592,,,,,
b4593,,,,,
b4594,,,,,
b4595,,,,,
b4596,,,,,
b4597,,,,,
b4598,,,,,
b4599,,,,,
b4600,,,,,
b4601,,,,,
b4602,,,,,
b4603,,,,,
b4604,,,,,
b4606,,,,,
b4608,,,,,
b4609,,,,,
b4611,,,,,
b4612,,,,,
b4613,,,,,
b4615,,,,,
b4616,,,,,
b4618,,,,,
b4620,,,,,
b4621,,,,,
b4622,,,,,
b4623,,,,,
b4624,,,,,
b4625,,,,,
b4626,,,,,
b4627,,,,,
b4628,,,,,
b4630,,,,,
b4631,,,,,
b4632,,,,,
b4633,,,,,
b4636,,,,,
b4637,,,,,
b4639,,,,,
b4640,,,,,
b4641,,,,,
b4642,,,,,
b4644,,,,,
b4646,,,,,
b4647,,,,,
b4648,,,,,
b4649,,,,,
b4650,,,,,
b4651,,,,,
b4652,,,,,
b4653,,,,,
b4654,,,,,
b4655,,,,,
b4656,,,,,
b4657,,,,,
b4658,,,,,
b4659,,,,,
b4660,,,,,
b4661,,,,,
